Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,movie_id
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,329865
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284052
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271110
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,346672
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,321612
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,263115
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,335797
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293167
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135397
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259316
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127380
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,315837
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,157336
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,395992
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,381288
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118340
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76341
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,293660
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,330459
